Year,State,ST Name,Religion,Persons,Male,Female,Persons (Rural),Male (Rural),Female (Rural),Persons (Urban),Male (Urban),Female (Urban)
"2,001",WEST BENGAL,All Scheduled Tribes,All religions,"4,406,794","2,223,924","2,182,870","4,136,366","2,085,231","2,051,135","270,428","138,693","131,735"
"2,001",WEST BENGAL,All Scheduled Tribes,Hindu,"3,286,183","1,661,705","1,624,478","3,077,800","1,554,355","1,523,445","208,383","107,350","101,033"
"2,001",WEST BENGAL,All Scheduled Tribes,Muslim,"16,208","8,278","7,930","14,439","7,371","7,068","1,769",907,862
"2,001",WEST BENGAL,All Scheduled Tribes,Christian,"268,866","134,002","134,864","249,844","124,608","125,236","19,022","9,394","9,628"
"2,001",WEST BENGAL,All Scheduled Tribes,Sikh,782,395,387,602,297,305,180,98,82
"2,001",WEST BENGAL,All Scheduled Tribes,Buddhist,"80,179","40,416","39,763","53,988","27,175","26,813","26,191","13,241","12,950"
"2,001",WEST BENGAL,All Scheduled Tribes,Jain,350,178,172,311,151,160,39,27,12
"2,001",WEST BENGAL,All Scheduled Tribes,Other religions and persuasions,"745,916","374,793","371,123","732,010","367,586","364,424","13,906","7,207","6,699"
"2,001",WEST BENGAL,All Scheduled Tribes,Religion not stated,"8,310","4,157","4,153","7,372","3,688","3,684",938,469,469
"2,001",WEST BENGAL,Asur,All religions,"4,051","2,010","2,041","3,848","1,891","1,957",203,119,84
"2,001",WEST BENGAL,Asur,Hindu,"3,799","1,876","1,923","3,663","1,802","1,861",136,74,62
"2,001",WEST BENGAL,Asur,Muslim,55,38,17,7,4,3,48,34,14
"2,001",WEST BENGAL,Asur,Christian,178,86,92,176,85,91,2,1,1
"2,001",WEST BENGAL,Asur,Buddhist,2,0,2,2,0,2,0,0,0
"2,001",WEST BENGAL,Asur,Jain,4,3,1,0,0,0,4,3,1
"2,001",WEST BENGAL,Asur,Other religions and persuasions,13,7,6,0,0,0,13,7,6
"2,001",WEST BENGAL,Baiga,All religions,"11,681","5,922","5,759","11,513","5,831","5,682",168,91,77
"2,001",WEST BENGAL,Baiga,Hindu,"11,621","5,889","5,732","11,458","5,800","5,658",163,89,74
"2,001",WEST BENGAL,Baiga,Muslim,21,11,10,21,11,10,0,0,0
"2,001",WEST BENGAL,Baiga,Christian,23,13,10,18,11,7,5,2,3
"2,001",WEST BENGAL,Baiga,Buddhist,2,2,0,2,2,0,0,0,0
"2,001",WEST BENGAL,Baiga,Other religions and persuasions,4,2,2,4,2,2,0,0,0
"2,001",WEST BENGAL,Baiga,Religion not stated,10,5,5,10,5,5,0,0,0
"2,001",WEST BENGAL,Bedia etc.,All religions,"55,979","28,527","27,452","54,460","27,732","26,728","1,519",795,724
"2,001",WEST BENGAL,Bedia etc.,Hindu,"53,076","27,038","26,038","51,596","26,263","25,333","1,480",775,705
"2,001",WEST BENGAL,Bedia etc.,Muslim,"2,263","1,159","1,104","2,232","1,144","1,088",31,15,16
"2,001",WEST BENGAL,Bedia etc.,Christian,130,66,64,130,66,64,0,0,0
"2,001",WEST BENGAL,Bedia etc.,Sikh,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Bedia etc.,Buddhist,17,10,7,9,5,4,8,5,3
"2,001",WEST BENGAL,Bedia etc.,Jain,2,2,0,2,2,0,0,0,0
"2,001",WEST BENGAL,Bedia etc.,Other religions and persuasions,465,238,227,465,238,227,0,0,0
"2,001",WEST BENGAL,Bedia etc.,Religion not stated,25,14,11,25,14,11,0,0,0
"2,001",WEST BENGAL,Bhumij,All religions,"336,436","170,798","165,638","325,727","165,375","160,352","10,709","5,423","5,286"
"2,001",WEST BENGAL,Bhumij,Hindu,"332,922","169,005","163,917","322,447","163,709","158,738","10,475","5,296","5,179"
"2,001",WEST BENGAL,Bhumij,Muslim,489,262,227,457,247,210,32,15,17
"2,001",WEST BENGAL,Bhumij,Christian,585,297,288,433,215,218,152,82,70
"2,001",WEST BENGAL,Bhumij,Sikh,38,19,19,31,15,16,7,4,3
"2,001",WEST BENGAL,Bhumij,Buddhist,8,4,4,7,3,4,1,1,0
"2,001",WEST BENGAL,Bhumij,Jain,1,1,0,1,1,0,0,0,0
