Year,State,District,ST Name,Religion,Persons,Male,Female,Persons (Rural),Male (Rural),Female (Rural),Persons (Urban),Male (Urban),Female (Urban)
2011,WEST BENGAL,Darjiling,All Scheduled Tribes,All religions,"397,389","197,251","200,138","319,069","158,918","160,151","78,320","38,333","39,987"
2011,WEST BENGAL,Darjiling,All Scheduled Tribes,Hindu,"133,513","65,850","67,663","119,997","59,317","60,680","13,516","6,533","6,983"
2011,WEST BENGAL,Darjiling,All Scheduled Tribes,Muslim,"1,084",515,569,734,346,388,350,169,181
2011,WEST BENGAL,Darjiling,All Scheduled Tribes,Christian,"81,785","40,215","41,570","73,964","36,466","37,498","7,821","3,749","4,072"
2011,WEST BENGAL,Darjiling,All Scheduled Tribes,Sikh,122,62,60,105,53,52,17,9,8
2011,WEST BENGAL,Darjiling,All Scheduled Tribes,Buddhist,"173,209","86,723","86,486","117,885","59,506","58,379","55,324","27,217","28,107"
2011,WEST BENGAL,Darjiling,All Scheduled Tribes,Jain,406,225,181,206,120,86,200,105,95
2011,WEST BENGAL,Darjiling,All Scheduled Tribes,Other religions and persuasions,"6,875","3,474","3,401","5,841","2,949","2,892","1,034",525,509
2011,WEST BENGAL,Darjiling,All Scheduled Tribes,Religion not stated,395,187,208,337,161,176,58,26,32
2011,WEST BENGAL,Darjiling,Asur,All religions,427,213,214,408,203,205,19,10,9
2011,WEST BENGAL,Darjiling,Asur,Hindu,331,165,166,316,157,159,15,8,7
2011,WEST BENGAL,Darjiling,Asur,Christian,96,48,48,92,46,46,4,2,2
2011,WEST BENGAL,Darjiling,Baiga,All religions,65,34,31,29,16,13,36,18,18
2011,WEST BENGAL,Darjiling,Baiga,Hindu,63,33,30,29,16,13,34,17,17
2011,WEST BENGAL,Darjiling,Baiga,Christian,2,1,1,0,0,0,2,1,1
2011,WEST BENGAL,Darjiling,"Bedia,  Bediya",All religions,73,37,36,70,35,35,3,2,1
2011,WEST BENGAL,Darjiling,"Bedia,  Bediya",Hindu,41,20,21,38,18,20,3,2,1
2011,WEST BENGAL,Darjiling,"Bedia,  Bediya",Christian,32,17,15,32,17,15,0,0,0
2011,WEST BENGAL,Darjiling,Bhumij,All religions,105,53,52,91,48,43,14,5,9
2011,WEST BENGAL,Darjiling,Bhumij,Hindu,99,52,47,89,48,41,10,4,6
2011,WEST BENGAL,Darjiling,Bhumij,Christian,2,0,2,2,0,2,0,0,0
2011,WEST BENGAL,Darjiling,Bhumij,Buddhist,4,1,3,0,0,0,4,1,3
2011,WEST BENGAL,Darjiling,"Bhutia,  Sherpa,  Toto,  Dukpa,  Kagatay,   Tibetan,   Yolmo",All religions,"49,454","24,666","24,788","27,023","13,484","13,539","22,431","11,182","11,249"
2011,WEST BENGAL,Darjiling,"Bhutia,  Sherpa,  Toto,  Dukpa,  Kagatay,   Tibetan,   Yolmo",Hindu,"1,479",620,859,925,379,546,554,241,313
2011,WEST BENGAL,Darjiling,"Bhutia,  Sherpa,  Toto,  Dukpa,  Kagatay,   Tibetan,   Yolmo",Muslim,218,98,120,64,23,41,154,75,79
2011,WEST BENGAL,Darjiling,"Bhutia,  Sherpa,  Toto,  Dukpa,  Kagatay,   Tibetan,   Yolmo",Christian,"2,243","1,092","1,151","1,466",705,761,777,387,390
2011,WEST BENGAL,Darjiling,"Bhutia,  Sherpa,  Toto,  Dukpa,  Kagatay,   Tibetan,   Yolmo",Sikh,7,1,6,5,1,4,2,0,2
2011,WEST BENGAL,Darjiling,"Bhutia,  Sherpa,  Toto,  Dukpa,  Kagatay,   Tibetan,   Yolmo",Buddhist,"45,350","22,776","22,574","24,500","12,346","12,154","20,850","10,430","10,420"
2011,WEST BENGAL,Darjiling,"Bhutia,  Sherpa,  Toto,  Dukpa,  Kagatay,   Tibetan,   Yolmo",Jain,130,67,63,44,23,21,86,44,42
2011,WEST BENGAL,Darjiling,"Bhutia,  Sherpa,  Toto,  Dukpa,  Kagatay,   Tibetan,   Yolmo",Other religions and persuasions,8,1,7,6,1,5,2,0,2
2011,WEST BENGAL,Darjiling,"Bhutia,  Sherpa,  Toto,  Dukpa,  Kagatay,   Tibetan,   Yolmo",Religion not stated,19,11,8,13,6,7,6,5,1
2011,WEST BENGAL,Darjiling,Birhor,All religions,55,31,24,50,27,23,5,4,1
2011,WEST BENGAL,Darjiling,Birhor,Hindu,42,21,21,39,19,20,3,2,1
2011,WEST BENGAL,Darjiling,Birhor,Christian,6,3,3,6,3,3,0,0,0
2011,WEST BENGAL,Darjiling,Birhor,Buddhist,7,7,0,5,5,0,2,2,0
2011,WEST BENGAL,Darjiling,Birjia,All religions,649,337,312,649,337,312,0,0,0
2011,WEST BENGAL,Darjiling,Birjia,Hindu,633,327,306,633,327,306,0,0,0
2011,WEST BENGAL,Darjiling,Birjia,Muslim,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Birjia,Christian,15,9,6,15,9,6,0,0,0
2011,WEST BENGAL,Darjiling,Chakma,All religions,11,8,3,7,6,1,4,2,2
2011,WEST BENGAL,Darjiling,Chakma,Hindu,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Chakma,Christian,10,7,3,6,5,1,4,2,2
2011,WEST BENGAL,Darjiling,Chero,All religions,841,418,423,670,330,340,171,88,83
2011,WEST BENGAL,Darjiling,Chero,Hindu,826,407,419,663,324,339,163,83,80
2011,WEST BENGAL,Darjiling,Chero,Muslim,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Chero,Christian,14,10,4,6,5,1,8,5,3
